title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
Diabolik Lovers,TV,12,Finished Airing,"Sep 16, 2013 to Dec 9, 2013",Fall 2013,"Frontier Works,Idea Factory,Showgate",Sentai Filmworks,Zexcs,Visual novel,"Harem,School,Shoujo,Vampire",15 min. per ep.,R - 17+ (violence & profanity),5.36,9734,593,"221,922"
Ulysses: Jehanne Darc to Renkin no Kishi,TV,12,Finished Airing,"Oct 7, 2018 to Dec 30, 2018",Fall 2018,"Lantis,Studio Mausu,Shueisha,Yomiuri TV Enterprise,Emon,DMM pictures,Crunchyroll SC Anime Fund,Bandai Namco Arts",Funimation,AXsiZ,Light novel,"Action,Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,5.36,9755,1705,"70,669"
Alice or Alice,TV,12,Finished Airing,"Apr 4, 2018 to Jun 20, 2018",Spring 2018,-,Sentai Filmworks,EMT Squared,4-koma manga,"Seinen,Slice of Life",3 min. per ep.,PG-13 - Teens 13 or older,5.35,9763,2906,"28,960"
Lord of Vermilion: Guren no Ou,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018",Summer 2018,-,Funimation,"Asread,Tear Studio",Game,"Action,Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,5.35,9771,2731,"32,572"
Scandal,ONA,12,Finished Airing,"May 1, 2009 to May 12, 2009",,-,-,-,Music,"Music,Slice of Life",1 min. per ep.,G - All Ages,5.34,9785,9264,"1,510"
Shironeko Project: Zero Chronicle,TV,12,Finished Airing,"Apr 6, 2020 to Jun 22, 2020",Spring 2020,"NBCUniversal Entertainment Japan,COLOPL,Kadokawa,GREE",Funimation,Project No.9,Game,"Action,Adventure,Magic,Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,5.34,9787,2138,"50,919"
Makeruna!! Aku no Gundan!,TV,12,Finished Airing,"Apr 5, 2017 to Jun 21, 2017",Spring 2017,Bushiroad,-,Tatsunoko Production,Manga,"Comedy,Shounen",5 min. per ep.,G - All Ages,5.33,9809,9088,"1,628"
Nobunaga-sensei no Osanazuma,TV,12,Finished Airing,"Apr 6, 2019 to Jun 22, 2019",Spring 2019,-,-,Seven,Manga,"Comedy,Ecchi,Harem,Romance,School",7 min. per ep.,R+ - Mild Nudity,5.29,9857,2115,"51,519"
Scared Rider Xechs,TV,12,Finished Airing,"Jul 6, 2016 to Sep 21, 2016",Summer 2016,"Sotsu,MediaNet,AT-X,MAGES.,Docomo Anime Store,5pb.",Funimation,Satelight,Visual novel,"Sci-Fi,Adventure,Harem,Romance",24 min. per ep.,PG-13 - Teens 13 or older,5.27,9892,3687,"18,058"
Zashiki Warashi no Tatami-chan,ONA,12,Finished Airing,"Apr 10, 2020 to Jun 26, 2020",,-,-,Zero-G,Original,"Comedy,Horror,Supernatural",4 min. per ep.,PG-13 - Teens 13 or older,5.27,9897,7121,"3,629"
