title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,"Fuji TV,TAP,Shueisha","Funimation,4Kids Entertainment",Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",24 min.,PG-13 - Teens 13 or older,8.49,99,30,"1,176,499"
Kingdom 3rd Season,TV,Unknown,Currently Airing,"Apr 6, 2020 to ?",Spring 2020,"NHK,Shueisha",Funimation,Studio Signpost,Manga,"Action,Historical,Military,Seinen",24 min.,R - 17+ (violence & profanity),8.42,135,2786,"31,438"
Detective Conan,TV,Unknown,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,"Yomiuri Telecasting,Animax,YTV,TMS-Kyokuchi,Shogakukan","Funimation,Crunchyroll",TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",25 min.,PG-13 - Teens 13 or older,8.17,333,565,"231,221"
Douluo Dalu: Xiaowu Juebie,ONA,Unknown,Currently Airing,"May 23, 2020 to ?",,-,-,Sparkly Key Animation Studio,Novel,"Action,Adventure,Historical,Romance,Martial Arts,Fantasy",20 min.,PG-13 - Teens 13 or older,8.08,432,8619,"1,940"
Tonikaku Kawaii,TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"Shogakukan-Shueisha Productions,Warner Bros. Japan,KlockWorx,Shogakukan,Crunchyroll SC Anime Fund",-,Seven Arcs,Manga,"Comedy,Romance,Shounen",23 min.,None,7.78,876,1164,"115,748"
BanG Dream! Garupa☆Pico: Oomori,TV,Unknown,Currently Airing,"May 7, 2020 to ?",Spring 2020,Cloud22,-,SANZIGEN,Manga,"Music,Comedy",3 min.,PG-13 - Teens 13 or older,7.71,1009,6683,"4,238"
Crayon Shin-chan,TV,Unknown,Currently Airing,"Apr 13, 1992 to ?",Spring 1992,TV Asahi,Funimation,Shin-Ei Animation,Manga,"Slice of Life,Comedy,Ecchi,School,Seinen",21 min.,PG - Children,7.69,1059,2066,"52,794"
Major 2nd (TV) 2nd Season,TV,Unknown,Currently Airing,"Apr 4, 2020 to ?",Spring 2020,-,-,OLM,Manga,"Comedy,Sports,Drama,Shounen",24 min.,PG-13 - Teens 13 or older,7.68,1081,4622,"10,574"
Osomatsu-san 3rd Season,TV,Unknown,Currently Airing,"Oct 13, 2020 to ?",Fall 2020,"Rakuonsha,Avex Pictures",-,Studio Pierrot,Manga,"Comedy,Parody",23 min.,R - 17+ (violence & profanity),7.65,1142,5237,"7,734"
Luo Xiao Hei Zhan Ji,ONA,Unknown,Currently Airing,"Mar 17, 2011 to ?",,-,-,-,Original,"Comedy,Supernatural",7 min.,PG - Children,7.61,1268,8500,"2,046"
Hanyou no Yashahime: Sengoku Otogizoushi,TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"Shogakukan,Yomiuri TV Enterprise",Viz Media,Sunrise,Original,"Action,Adventure,Comedy,Historical,Demons,Supernatural,Magic,Fantasy",24 min.,PG-13 - Teens 13 or older,7.52,1520,2159,"49,767"
Doraemon (2005),TV,Unknown,Currently Airing,"Apr 22, 2005 to ?",Spring 2005,TV Asahi,-,Shin-Ei Animation,Manga,"Sci-Fi,Comedy,Kids,Shounen",25 min.,PG - Children,7.5,1576,4695,"10,178"
Pokemon (2019),TV,Unknown,Currently Airing,"Nov 17, 2019 to ?",Fall 2019,"TV Tokyo,Shogakukan-Shueisha Productions,MediaNet",-,OLM,Game,"Action,Adventure,Comedy,Kids,Fantasy",23 min.,PG - Children,7.34,2172,2660,"34,024"
Hifuu Katsudou Kiroku: The Sealed Esoteric History,OVA,Unknown,Currently Airing,"Dec 29, 2015 to ?",,-,-,-,Game,"Magic,Fantasy",30 min.,PG-13 - Teens 13 or older,7.3,2329,6383,"4,732"
Black Clover,TV,Unknown,Currently Airing,"Oct 3, 2017 to ?",Fall 2017,"TV Tokyo,Avex Pictures,Shueisha","Funimation,Crunchyroll",Studio Pierrot,Manga,"Action,Comedy,Magic,Fantasy,Shounen",23 min.,PG-13 - Teens 13 or older,7.29,2389,113,"686,615"
Fate/Grand Order,Special,Unknown,Currently Airing,"Dec 27, 2014 to ?",,-,-,-,Game,"Action,Fantasy",15 sec.,PG - Children,7.24,2584,4172,"13,434"
Dragon Quest: Dai no Daibouken (2020),TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"TV Tokyo,Square Enix,Shueisha",-,Toei Animation,Manga,"Action,Adventure,Fantasy,Shounen",24 min.,PG-13 - Teens 13 or older,7.21,2719,3241,"23,671"
Chibi Maruko-chan (1995),TV,Unknown,Currently Airing,"Jan 8, 1995 to ?",Winter 1995,Sakura Production,-,Nippon Animation,Manga,"Slice of Life,Comedy,Kids,School",23 min.,G - All Ages,7.19,2797,7744,"2,791"
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,OVA,Unknown,Currently Airing,"Dec 29, 2008 to ?",,Maikaze,-,-,Game,"Magic,Vampire,Fantasy",22 min.,PG-13 - Teens 13 or older,7.15,2954,2859,"29,802"
Nintama Rantarou,TV,Unknown,Currently Airing,"Apr 10, 1993 to ?",Spring 1993,NHK,-,Ajia-Do,Manga,"Comedy,Kids",10 min.,G - All Ages,7.07,3310,6310,"4,859"
Gudetama,TV,Unknown,Currently Airing,"Mar 31, 2014 to ?",Spring 2014,Sanrio,-,Gathering,Original,"Comedy,Kids",1 min.,G - All Ages,7.07,3355,5054,"8,452"
Healin' Good♡Precure,TV,Unknown,Currently Airing,"Feb 2, 2020 to ?",Winter 2020,"Asatsu DK,Asahi Broadcasting,ABC Animation",-,Toei Animation,Original,"Action,Magic,Fantasy,Shoujo",24 min.,G - All Ages,6.96,3742,6232,"5,017"
A3! Season Autumn & Winter,TV,Unknown,Currently Airing,"Oct 13, 2020 to ?",Fall 2020,"Pony Canyon,Infinite",Funimation,"P.A. Works,Studio 3Hz",Game,"Slice of Life,Drama",23 min.,PG-13 - Teens 13 or older,6.91,3952,5454,"7,049"
Koisuru Shirokuma,Movie,Unknown,Currently Airing,"Mar 4, 2017 to ?",,-,-,Gathering,Manga,"Comedy,Josei,Shounen Ai",39 sec.,G - All Ages,6.85,4210,6362,"4,763"
Taisou Zamurai,TV,Unknown,Currently Airing,"Oct 11, 2020 to ?",Fall 2020,-,Funimation,MAPPA,Original,Sports,23 min.,None,6.73,4683,3541,"19,762"
Noblesse,TV,Unknown,Currently Airing,"Oct 8, 2020 to ?",Fall 2020,"Glovision,Crunchyroll SC Anime Fund",-,Production I.G,Web manga,"Action,Supernatural,Vampire,School",23 min.,None,6.71,4773,1465,"86,902"
Ryoutei no Aji,Special,Unknown,Currently Airing,"Mar 28, 2014 to ?",,Robot Communications,-,Studio Colorido,Original,Slice of Life,1 min.,G - All Ages,6.7,4852,9146,"1,585"
D4DJ: First Mix,TV,Unknown,Currently Airing,"Oct 23, 2020 to ?",Fall 2020,Bushiroad,Sentai Filmworks,SANZIGEN,Original,Music,Unknown,None,6.6,5312,7684,"2,864"
Tenki no Ko CMs,Special,Unknown,Currently Airing,"Jun 30, 2019 to ?",,-,-,"Enishiya,FILMONY",Original,"Music,Slice of Life",20 sec.,G - All Ages,6.59,5361,8139,"2,381"
Akuma no Kimuraa-hen,Special,Unknown,Currently Airing,"Apr 6, 2018 to ?",,-,-,HOTZIPANG,Original,"Parody,Demons",30 sec.,G - All Ages,6.59,5369,9420,"1,416"
Petit Clover Advance,Special,Unknown,Currently Airing,"Feb 23, 2018 to ?",,-,-,-,Original,Comedy,6 min.,PG-13 - Teens 13 or older,6.56,5509,8941,"1,716"
Granblue Fantasy,ONA,Unknown,Currently Airing,"Nov 8, 2013 to ?",,-,-,-,Game,Fantasy,28 sec.,G - All Ages,6.54,5602,5797,"6,044"
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"Half H.P Studio,studioGONG",-,Team TillDawn,Manga,"Slice of Life,Comedy",1 min.,None,6.5,5779,6392,"4,704"
Fastening Days,ONA,Unknown,Currently Airing,"Oct 30, 2014 to ?",,-,-,Studio Colorido,Original,"Kids,Magic",6 min.,G - All Ages,6.46,5989,6162,"5,163"
Sore Ike! Anpanman,TV,Unknown,Currently Airing,"Oct 3, 1988 to ?",Fall 1988,Sotsu,-,TMS Entertainment,Picture book,"Comedy,Kids,Fantasy",24 min.,PG - Children,6.44,6114,8576,"1,982"
One Room Third Season,TV,Unknown,Currently Airing,"Oct 6, 2020 to ?",Fall 2020,-,-,Zero-G,Original,Slice of Life,4 min.,PG-13 - Teens 13 or older,6.43,6126,4583,"10,796"
Queen's Blade: Unlimited,OVA,Unknown,Currently Airing,"Jul 13, 2018 to ?",,-,-,-,Other,"Action,Adventure,Ecchi,Fantasy",Unknown,R+ - Mild Nudity,6.37,6417,5180,"7,984"
Mewkledreamy,TV,Unknown,Currently Airing,"Apr 5, 2020 to ?",Spring 2020,Sanrio,-,J.C.Staff,Other,"Adventure,Kids,Fantasy",24 min.,G - All Ages,6.37,6448,7283,"3,379"
Bonobono (TV 2016),TV,Unknown,Currently Airing,"Apr 2, 2016 to ?",Spring 2016,"Fuji TV,Glovision",-,Eiken,4-koma manga,"Slice of Life,Comedy",5 min.,G - All Ages,6.35,6519,8308,"2,233"
Ojarumaru,TV,Unknown,Currently Airing,"Oct 5, 1998 to ?",Fall 1998,NHK,Enoki Films,Gallop,Original,"Adventure,Comedy,Kids,Fantasy",10 min.,G - All Ages,6.34,6566,9880,"1,141"
Assault Lily: Bouquet,TV,Unknown,Currently Airing,"Oct 2, 2020 to ?",Fall 2020,-,Funimation,Shaft,Other,"Action,Magic,Fantasy",24 min.,None,6.33,6602,2623,"34,919"
Magatsu Wahrheit: Zuerst,TV,Unknown,Currently Airing,"Oct 13, 2020 to ?",Fall 2020,"WOWOW,NBCUniversal Entertainment Japan,Tokyo MX,Q-Tec,Chugai Mining,BS11,KLab,Marui Group,Bit grooove promotion",Funimation,Yokohama Animation Lab,Game,"Action,Magic,Fantasy",24 min.,None,6.33,6625,4110,"13,883"
Doraemon (2005) Specials,Special,Unknown,Currently Airing,"Apr 15, 2005 to ?",,-,-,-,Unknown,"Comedy,Seinen",Unknown,PG - Children,6.3,6740,11523,561
Golden Douga Gekijou,ONA,Unknown,Currently Airing,"Apr 16, 2018 to ?",,NBCUniversal Entertainment Japan,-,"W-Toon Studio,DMM.futureworks",Manga,Comedy,26 sec.,R - 17+ (violence & profanity),6.3,6748,7044,"3,706"
Beyblade Burst Sparking,ONA,Unknown,Currently Airing,"Apr 3, 2020 to ?",,-,-,-,Original,"Action,Sci-Fi,Adventure,Sports,Shounen",12 min.,PG - Children,6.29,6817,9549,"1,340"
Zenonzard The Animation,ONA,Unknown,Currently Airing,"Jan 31, 2020 to ?",,Magic Capsule,-,8bit,Game,"Action,Game,Fantasy",14 min.,PG-13 - Teens 13 or older,6.24,7050,6297,"4,886"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,Special,Unknown,Currently Airing,"Sep 30, 2016 to ?",,-,-,-,Game,"Drama,Magic",41 sec.,PG - Children,6.23,7091,4890,"9,212"
Knyacki!,TV,Unknown,Currently Airing,"Apr 7, 1995 to ?",Spring 1995,NHK,-,-,Unknown,"Comedy,Kids,Drama,Fantasy",5 min.,PG - Children,6.17,7344,11388,590
Sazae-san,TV,Unknown,Currently Airing,"Oct 5, 1969 to ?",Fall 1969,Fuji TV,-,Eiken,4-koma manga,"Slice of Life,Comedy",24 min.,G - All Ages,6.15,7411,6296,"4,888"
Xi Yang Yang Yu Hui Tai Lang,TV,Unknown,Currently Airing,2005 to ?,,Creative Power Entertaining,-,-,Unknown,"Adventure,Comedy,Kids",15 min.,None,6.09,7695,12379,395
Cardfight!! Vanguard Gaiden: If,TV,Unknown,Currently Airing,"May 30, 2020 to ?",Spring 2020,-,-,OLM,Original,"Action,Game,Adventure,Comedy,Parody,Demons",24 min.,PG-13 - Teens 13 or older,5.98,8105,9150,"1,582"
Hungry Days: Aoharu ka yo.,Special,Unknown,Currently Airing,"Jun 7, 2017 to ?",,-,-,"Shaft,Tatsunoko Production",Other,"Slice of Life,Magic,Romance",30 sec.,G - All Ages,5.97,8155,6043,"5,415"
Boruto: Naruto Next Generations,TV,Unknown,Currently Airing,"Apr 5, 2017 to ?",Spring 2017,"TV Tokyo,Aniplex,Rakuonsha,Shueisha",Viz Media,Studio Pierrot,Manga,"Action,Adventure,Super Power,Martial Arts,Shounen",23 min.,PG-13 - Teens 13 or older,5.94,8225,243,"444,580"
Pokemon Daisuki Club,,Unknown,Currently Airing,"Aug 21, 2014 to ?",,Nintendo,-,-,Game,"Music,Comedy",4 min.,G - All Ages,5.93,8254,10197,989
6HP (Six Hearts Princess),Special,Unknown,Currently Airing,"Dec 30, 2016 to ?",,Poncotan,-,-,Unknown,Magic,22 min.,None,5.92,8272,6692,"4,223"
Otona nya Koi no Shikata ga Wakaranee!,TV,Unknown,Currently Airing,"Oct 5, 2020 to ?",Fall 2020,"Studio Mausu,Suiseisha",-,Ether Kitten,Manga,"Ecchi,Romance",Unknown,R+ - Mild Nudity,5.86,8484,5838,"5,915"
Chokotto Anime Kemono Friends 3,ONA,Unknown,Currently Airing,"Apr 2, 2019 to ?",,-,-,-,Game,"Adventure,Comedy,Fantasy",1 min.,PG - Children,5.81,8623,9435,"1,406"
Anime Kapibara-san,TV,Unknown,Currently Airing,"Oct 9, 2020 to ?",Fall 2020,Jinnan Studio,-,"Shin-Ei Animation,Lesprit",Other,Comedy,1 min.,G - All Ages,5.74,8802,10871,734
Guraburu!,TV,Unknown,Currently Airing,"Oct 8, 2020 to ?",Fall 2020,dugout,-,"W-Toon Studio,DMM.futureworks",4-koma manga,"Adventure,Fantasy",3 min.,PG-13 - Teens 13 or older,5.69,8959,5651,"6,449"
SD Gundam World: Sangoku Souketsuden,ONA,Unknown,Currently Airing,"Jul 26, 2019 to ?",,-,-,Sunrise,Original,"Action,Historical,Mecha",15 min.,PG - Children,5.63,9094,9196,"1,552"
Yu☆Gi☆Oh!: Sevens,TV,Unknown,Currently Airing,"Apr 4, 2020 to ?",Spring 2020,-,-,Bridge,Card game,"Action,Game,Fantasy,Shounen",24 min.,PG-13 - Teens 13 or older,5.49,9454,4535,"11,110"
Yodel no Onna,TV,Unknown,Currently Airing,"Sep 22, 2017 to ?",Fall 2017,-,-,DLE,Original,"Music,Comedy",30 sec.,G - All Ages,5.4,9667,10083,"1,044"
Super Dragon Ball Heroes,ONA,Unknown,Currently Airing,"Jul 1, 2018 to ?",,-,-,Toei Animation,Game,"Action,Comedy,Super Power,Martial Arts,Fantasy,Shounen",8 min.,PG-13 - Teens 13 or older,5.38,9711,2218,"47,348"
Gal-gaku.: Hijiri Girls Square Gakuin,TV,Unknown,Currently Airing,"Apr 6, 2020 to ?",Spring 2020,-,-,"OLM,Wit Studio",Game,"Music,School",3 min.,PG-13 - Teens 13 or older,5.36,9736,9782,"1,195"
Rebirth,TV,Unknown,Currently Airing,"Jan 5, 2020 to ?",Winter 2020,LIDENFILMS Osaka Studio,-,LIDENFILMS,Card game,"Game,Slice of Life,Comedy",3 min.,PG-13 - Teens 13 or older,5.32,9821,7771,"2,766"
Hungry to Win,ONA,Unknown,Currently Airing,"Nov 8, 2014 to ?",,-,-,-,Original,"Action,Sports",30 sec.,G - All Ages,5.21,10008,11690,520
Sore dake ga Neck,TV,Unknown,Currently Airing,"Oct 13, 2020 to ?",Fall 2020,-,-,Toho Interactive Animation,Original,Mystery,3 min.,None,5.19,10033,7729,"2,810"
Shadowverse (TV),TV,Unknown,Currently Airing,"Apr 7, 2020 to ?",Spring 2020,"TV Tokyo,Sonilude",-,Zexcs,Card game,"Game,Fantasy",24 min.,PG - Children,5.15,10095,5117,"8,212"
Suntory Tennensui CMs,Special,Unknown,Currently Airing,"Mar 28, 2014 to ?",,-,-,-,Original,Slice of Life,19 sec.,G - All Ages,5.09,10189,10326,934
Ponkotsuland Saga,ONA,Unknown,Currently Airing,"Oct 24, 2015 to ?",,-,-,Pie in the sky,Manga,"Comedy,Parody",4 min.,G - All Ages,4.66,10533,10215,981
Ninja Box 3rd Season,ONA,Unknown,Currently Airing,"Mar 26, 2020 to ?",,-,-,-,Game,"Action,Comedy,Kids,Fantasy",1 min.,G - All Ages,N/A,10778,17007,51
Ninjala,ONA,Unknown,Currently Airing,"Jun 23, 2020 to ?",,-,-,"Studio Hibari,domerica",Game,"Action,Martial Arts",10 min.,G - All Ages,N/A,10788,16537,91
Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next,Special,Unknown,Currently Airing,"Feb 11, 2016 to ?",,NHK,-,Ajia-Do,Unknown,"Adventure,Space,Comedy,Kids",24 min.,G - All Ages,N/A,10796,13747,249
Nishitesu CMs,Special,Unknown,Currently Airing,"Jul 19, 2016 to ?",,-,-,-,Original,"Slice of Life,Cars",1 min.,G - All Ages,N/A,10806,14852,180
Norasco,ONA,Unknown,Currently Airing,"Oct 11, 2013 to ?",,-,-,Kachidoki Studio,Original,"Slice of Life,Comedy",2 min.,G - All Ages,N/A,10833,14140,222
Norasco (Movie),Movie,Unknown,Currently Airing,"Sep 17, 2016 to ?",,-,-,Kachidoki Studio,Original,"Slice of Life,Comedy",2 min.,G - All Ages,N/A,10834,15469,146
Norimono Man: Mobile Land no Car-kun,TV,Unknown,Currently Airing,"Apr 2, 2020 to ?",Spring 2020,-,-,CloverWorks,Original,"Slice of Life,Cars,Comedy,Kids",5 min.,PG - Children,N/A,10840,16010,118
Obake Zukan,TV,Unknown,Currently Airing,"Jul 1, 2020 to ?",Summer 2020,-,-,Fanworks,Picture book,"Comedy,Demons,Kids,Supernatural,Fantasy",Unknown,None,N/A,10877,12819,332
Oidon to,TV,Unknown,Currently Airing,"Dec 2, 2015 to ?",Winter 2016,NHK,-,-,Original,"Sports,Kids",5 min.,G - All Ages,N/A,10905,15496,144
Onegai Patron-sama!,ONA,Unknown,Currently Airing,"Oct 18, 2020 to ?",,"Happinet,Bit grooove promotion",-,TANOsim,Original,Slice of Life,Unknown,None,N/A,10959,15360,152
Onigiri ni Naritai Cogimyun,TV,Unknown,Currently Airing,"Jan 31, 2020 to ?",Winter 2020,-,-,-,Other,"Fantasy,Kids,School",1 min.,G - All Ages,N/A,10966,16848,66
Origami Ninja Koyankinte,TV,Unknown,Currently Airing,"Apr 7, 2020 to ?",Spring 2020,TV Tokyo,-,Directions,Unknown,"Comedy,Kids",Unknown,PG - Children,N/A,11004,16843,67
Orushipe Suopu,Special,Unknown,Currently Airing,2012 to ?,,-,-,-,Original,"Historical,Kids",5 min.,G - All Ages,N/A,11009,16942,57
Oshamani,ONA,Unknown,Currently Airing,"Feb 5, 2019 to ?",,Kamio Japan,-,-,Original,Kids,1 min.,G - All Ages,N/A,11014,16602,87
Osomatsu-san x Mameshiba,Special,Unknown,Currently Airing,"Mar 27, 2018 to ?",,-,-,-,Original,Parody,30 sec.,G - All Ages,N/A,11035,10592,821
Osomatsu-san: Hajimaru Hajimari,Special,Unknown,Finished Airing,2-Aug-18,,-,-,-,Manga,"Comedy,Parody,Fantasy",Unknown,PG-13 - Teens 13 or older,N/A,11036,10600,822
Otoppe,TV,Unknown,Currently Airing,"Apr 3, 2017 to ?",Spring 2017,NHK,-,-,Original,"Music,Kids,Fantasy",3 min.,G - All Ages,N/A,11052,15289,155
Pakkororin,TV,Unknown,Currently Airing,"Mar 28, 2011 to ?",Spring 2011,-,-,-,Original,Kids,1 min.,G - All Ages,N/A,11080,16326,103
Papan Ga Panda!,TV,Unknown,Currently Airing,2012 to ?,,-,-,-,Original,"Kids,Music",30 sec.,G - All Ages,N/A,11102,16151,112
Phantomi: Mini Anime,ONA,Unknown,Currently Airing,"Aug 5, 2019 to ?",,-,-,-,Other,"Magic,Shoujo",2 min.,G - All Ages,N/A,11149,16232,108
Pittanko!! Nekozakana,TV,Unknown,Currently Airing,"Oct 9, 2017 to ?",Fall 2017,-,-,-,Unknown,,5 min.,G - All Ages,N/A,11172,12436,386
Poccolies,TV,Unknown,Currently Airing,"Apr 6, 2020 to ?",Spring 2020,-,-,Kachidoki Studio,Other,"Slice of Life,Kids",1 min.,G - All Ages,N/A,11187,15442,148
Ponkotsu Quest Specials,ONA,Unknown,Currently Airing,"Mar 13, 2014 to ?",,VAP,-,Pie in the sky,Original,"Comedy,Parody,Fantasy",2 min.,G - All Ages,N/A,11203,14032,229
Ponkotsu Quest: Maou to Haken no Mamono-tachi,ONA,Unknown,Currently Airing,"Aug 22, 2013 to ?",,"VAP,Pie in the sky",-,-,Original,"Comedy,Parody,Fantasy",3 min.,PG - Children,N/A,11206,12714,343
Ponkotsu Quest: Maou to Haken no Mamono-tachi Specials,Special,Unknown,Currently Airing,"Dec 23, 2015 to ?",,VAP,-,-,Original,"Comedy,Fantasy,Game,Parody",4 min.,PG - Children,N/A,11207,14287,212
Puzzle & Dragon,TV,Unknown,Currently Airing,"Apr 2, 2018 to ?",Spring 2018,Akatsuki,-,Studio Pierrot,Game,"Game,Kids",24 min.,PG - Children,N/A,11266,10423,888
Qin Shi Ming Yue: Canghai Hengliu,ONA,Unknown,Currently Airing,"Oct 8, 2020 to ?",,-,-,Sparkly Key Animation Studio,Novel,"Action,Historical,Martial Arts,Fantasy",Unknown,PG-13 - Teens 13 or older,N/A,11277,10866,734
Reizouko no Tsukenosuke!,TV,Unknown,Currently Airing,"Oct 1, 2018 to ?",Fall 2018,Shogakukan-Shueisha Productions,-,-,Original,"Comedy,Kids,Parody",1 min.,G - All Ages,N/A,11304,16328,103
Renwu Dashi,ONA,Unknown,Finished Airing,"Aug 3, 2020 to Sep 12, 2020",,-,-,1IN,Original,"Action,Adventure,Fantasy",12 min.,None,N/A,11311,16973,54
Robot Pulta,TV,Unknown,Currently Airing,"Apr 4, 1995 to ?",Spring 1995,NHK,-,-,Unknown,"Adventure,Comedy,Kids,Mecha",5 min.,G - All Ages,N/A,11356,14729,186
Saikyou Kamizmode!,ONA,Unknown,Currently Airing,"Sep 28, 2020 to ?",,-,-,Bandai Namco Pictures,Original,Action,23 min.,None,N/A,11407,15818,127
Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,TV,Unknown,Currently Airing,"Oct 7, 2020 to ?",Fall 2020,Lantis,-,Pie in the sky,Original,"Parody,Magic",Unknown,G - All Ages,N/A,11494,12598,360
Shadowverse,ONA,Unknown,Currently Airing,"Oct 16, 2015 to ?",,-,-,-,Card game,"Fantasy,Game",1 min.,G - All Ages,N/A,11530,11110,668
Shaonu Qianxian: Renxing Xiao Juchang 2,ONA,Unknown,Currently Airing,"Oct 7, 2020 to ?",,-,-,-,Game,"Military,Sci-Fi,Comedy",3 min.,None,N/A,11541,11933,473
Shiawase Haitatsu Taneko,TV,Unknown,Currently Airing,"Mar 26, 2011 to ?",Spring 2011,-,-,Kachidoki Studio,Original,Comedy,Unknown,None,N/A,11559,11898,477
Shimajirou no Wow!,TV,Unknown,Currently Airing,"Apr 2, 2012 to ?",Spring 2012,-,-,The Answer Studio,Other,"Adventure,Comedy,Fantasy,Kids,Magic",25 min.,G - All Ages,N/A,11581,13317,282
Star Ocean: Anamnesis,ONA,Unknown,Currently Airing,"Nov 28, 2016 to ?",,-,-,-,Game,"Action,Fantasy",1 min.,PG-13 - Teens 13 or older,N/A,11864,12212,422
Syupeo Sikeulis,ONA,Unknown,Currently Airing,"May 30, 2020 to ?",,-,-,Studio Shelter,Unknown,"Comedy,Supernatural,Romance",8 min.,PG-13 - Teens 13 or older,N/A,11943,16866,64
Tabechatta tte Ii no ni na!,ONA,Unknown,Currently Airing,"Mar 19, 2018 to ?",,-,-,Gaina,Original,"Slice of Life,Comedy",5 min.,G - All Ages,N/A,11949,14804,182
Taeko no Nichijou 2nd Season,TV,Unknown,Currently Airing,"Jul 1, 2020 to ?",Summer 2020,-,-,DLE,Manga,Slice of Life,1 min.,G - All Ages,N/A,11962,15122,164
Taka no Tsume x Johnson: Tatakae! Jokin Shitennou,ONA,Unknown,Currently Airing,"May 17, 2019 to ?",,-,-,DLE,Original,"Comedy,Parody,Super Power",2 min.,G - All Ages,N/A,11978,15021,171
Taka no Tsume-dan no Ike! ODAman,ONA,Unknown,Currently Airing,"Sep 20, 2018 to ?",,-,-,-,Original,"Parody,Super Power",3 min.,G - All Ages,N/A,11981,15857,125
"Taka no Tsume-dan, Toyama",ONA,Unknown,Currently Airing,"Apr 6, 2016 to ?",,-,-,DLE,Original,Comedy,4 min.,G - All Ages,N/A,11984,14073,226
Tennis no Ouji-sama: Best Games!!,OVA,Unknown,Currently Airing,"Oct 26, 2018 to ?",,-,-,-,Manga,"Action,Comedy,School,Shounen,Sports",Unknown,PG-13 - Teens 13 or older,N/A,12073,8115,"2,408"
The Girl and the Monster,ONA,Unknown,Currently Airing,"Jul 26, 2019 to ?",,-,-,-,Original,"Comedy,Horror",44 sec.,PG - Children,N/A,12104,15264,156
The North Face Japan CMs,Special,Unknown,Currently Airing,"Mar 31, 2016 to ?",,-,-,-,Original,"Music,Slice of Life",1 min.,G - All Ages,N/A,12115,14489,201
Tokio Heidi: Mainichi no Kodomo Uta,ONA,Unknown,Currently Airing,"Apr 6, 2011 to ?",,King Records,-,-,Music,"Kids,Music",2 min.,G - All Ages,N/A,12179,15385,151
Tokyo 2020 Olympics CMs,ONA,Unknown,Currently Airing,"Jul 22, 2018 to ?",,-,-,-,Original,"Music,Sports,Kids",1 min.,G - All Ages,N/A,12182,16033,116
Tomica Kizuna Gattai: Earth Granner,TV,Unknown,Currently Airing,"Apr 5, 2020 to ?",Spring 2020,-,-,OLM,Other,"Action,Adventure,Mecha,Sci-Fi",24 min.,PG - Children,N/A,12197,10832,743
Unicorn no Kyupi,TV,Unknown,Currently Airing,"Mar 20, 2017 to ?",Spring 2017,-,-,-,Original,"Kids,Fantasy",5 min.,G - All Ages,N/A,12366,15787,128
Washimo 8th Season,TV,Unknown,Currently Airing,"Mar 30, 2020 to ?",Spring 2020,-,-,-,Picture book,"Sci-Fi,Slice of Life,Comedy,Kids,School",10 min.,G - All Ages,N/A,12463,17063,44
Wedding Park,Special,Unknown,Currently Airing,"Dec 10, 2018 to ?",,-,-,-,Original,Romance,15 sec.,G - All Ages,N/A,12489,14831,181
Whistle! (ONA),ONA,Unknown,Currently Airing,"Dec 17, 2016 to ?",,-,-,-,Manga,"Sports,School,Shounen",Unknown,PG - Children,N/A,12495,10626,813
Woo to Wah,ONA,Unknown,Currently Airing,"Oct 2, 2017 to ?",,WOWOW,-,dwarf,Original,Comedy,15 sec.,G - All Ages,N/A,12518,15592,138
Working Boys,Special,Unknown,Currently Airing,"Feb 15, 2018 to ?",,NHK,-,-,Original,Kids,5 min.,G - All Ages,N/A,12519,15753,130
Yeastken.,ONA,Unknown,Currently Airing,"Dec 13, 2018 to ?",,Kamio Japan,-,-,Original,Kids,51 sec.,G - All Ages,N/A,12637,15789,128
Youkai Watch Jam: Youkai Gakuen Y - N to no Souguu,TV,Unknown,Currently Airing,"Dec 27, 2019 to ?",Winter 2020,-,-,-,Game,"Comedy,Demons,Kids,Supernatural,School",24 min.,None,N/A,12672,10948,714
Yowamushi Monsters,TV,Unknown,Currently Airing,"Dec 25, 2012 to ?",Winter 2013,NHK,-,-,Original,Kids,1 min.,PG - Children,N/A,12686,14238,216
Yumearu Ugoku Ehon,ONA,Unknown,Currently Airing,"Mar 19, 2015 to ?",,Yumearu,-,-,Other,"Kids,Fantasy",3 min.,G - All Ages,N/A,12719,15994,119
